2022-02-20 20:47:38.897 UTC,,,ending log output to stderr
2022-02-20 20:47:38.897 UTC,,,"starting PostgreSQL 14.2 (Ubuntu 14.2-1.pgdg18.04+1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0, 64-bit"
2022-02-20 20:47:38.897 UTC,,,"listening on IPv4 address ""127.0.0.1"", port 5432"
2022-02-20 20:47:38.902 UTC,,,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432"""
2022-02-20 20:47:38.915 UTC,,,database system was shut down at 2022-02-20 20:47:38 UTC
2022-02-20 20:47:38.930 UTC,,,database system is ready to accept connections
2022-02-20 20:47:40.003 UTC,postgres,idle,statement: 
2022-02-20 20:47:40.518 UTC,postgres,idle,statement: 
2022-02-20 20:47:41.032 UTC,postgres,idle,statement: 
2022-02-20 20:47:48.549 UTC,project1user,BEGIN,execute <unnamed>: BEGIN
2022-02-20 20:47:48.550 UTC,project1user,SET,execute <unnamed>: SET extra_float_digits = 3
2022-02-20 20:47:48.550 UTC,project1user,SET,execute <unnamed>: SET application_name = 'PostgreSQL JDBC Driver'
2022-02-20 20:47:48.557 UTC,project1user,COMMIT,execute <unnamed>: COMMIT
2022-02-20 20:47:48.571 UTC,project1user,SELECT,execute <unnamed>: select current_schema()
2022-02-20 20:47:48.581 UTC,project1user,SELECT,"execute <unnamed>: SELECT NULL AS TABLE_CAT, n.nspname AS TABLE_SCHEM, c.relname AS TABLE_NAME,  CASE n.nspname ~ '^pg_' OR n.nspname = 'information_schema'  WHEN true THEN CASE  WHEN n.nspname = 'pg_catalog' OR n.nspname = 'information_schema' THEN CASE c.relkind   WHEN 'r' THEN 'SYSTEM TABLE'   WHEN 'v' THEN 'SYSTEM VIEW'   WHEN 'i' THEN 'SYSTEM INDEX'   ELSE NULL   END  WHEN n.nspname = 'pg_toast' THEN CASE c.relkind   WHEN 'r' THEN 'SYSTEM TOAST TABLE'   WHEN 'i' THEN 'SYSTEM TOAST INDEX'   ELSE NULL   END  ELSE CASE c.relkind   WHEN 'r' THEN 'TEMPORARY TABLE'   WHEN 'p' THEN 'TEMPORARY TABLE'   WHEN 'i' THEN 'TEMPORARY INDEX'   WHEN 'S' THEN 'TEMPORARY SEQUENCE'   WHEN 'v' THEN 'TEMPORARY VIEW'   ELSE NULL   END  END  WHEN false THEN CASE c.relkind  WHEN 'r' THEN 'TABLE'  WHEN 'p' THEN 'PARTITIONED TABLE'  WHEN 'i' THEN 'INDEX'  WHEN 'P' then 'PARTITIONED INDEX'  WHEN 'S' THEN 'SEQUENCE'  WHEN 'v' THEN 'VIEW'  WHEN 'c' THEN 'TYPE'  WHEN 'f' THEN 'FOREIGN TABLE'  WHEN 'm' THEN 'MATERIALIZED VIEW'  ELSE NULL  END  ELSE NULL  END  AS TABLE_TYPE, d.description AS REMARKS,  '' as TYPE_CAT, '' as TYPE_SCHEM, '' as TYPE_NAME, '' AS SELF_REFERENCING_COL_NAME, '' AS REF_GENERATION  FROM pg_catalog.pg_namespace n, pg_catalog.pg_class c  LEFT JOIN pg_catalog.pg_description d ON (c.oid = d.objoid AND d.objsubid = 0  and d.classoid = 'pg_class'::regclass)  WHERE c.relnamespace = n.oid  AND n.nspname LIKE 'public' AND (false  OR ( c.relkind = 'r' AND n.nspname !~ '^pg_' AND n.nspname <> 'information_schema' ) )  ORDER BY TABLE_TYPE,TABLE_SCHEM,TABLE_NAME "
